年,月,日,時,緯度,経度,中心気圧 (hPa),最大風速 (kt),階級,画像,天気図,警報
2021,7,22,21,21.5,146.1,1002,0,2,画像,天気図,警報
2021,7,23,3,21.8,147.0,1000,0,2,画像,天気図,警報
2021,7,23,9,22.4,147.9,1002,0,2,画像,天気図,警報
2021,7,23,15,23.4,148.5,1000,0,2,画像,天気図,警報
2021,7,23,21,24.2,148.8,998,35,3,画像,天気図,警報
2021,7,24,3,25.1,149.3,998,35,3,画像,天気図,警報
2021,7,24,9,25.4,149.7,996,35,3,画像,天気図,警報
2021,7,24,15,26.1,150.1,996,35,3,画像,天気図,警報
2021,7,24,21,27.6,150.6,994,40,3,画像,天気図,警報
2021,7,25,3,28.4,150.6,994,40,3,画像,天気図,警報
2021,7,25,9,29.6,150.7,994,40,3,画像,天気図,警報
2021,7,25,15,30.2,150.4,992,40,3,画像,天気図,警報
2021,7,25,21,31.1,149.8,992,40,3,画像,天気図,警報
2021,7,26,3,32.8,149.3,992,40,3,画像,天気図,警報
2021,7,26,9,33.9,147.7,992,40,3,画像,天気図,警報
2021,7,26,15,34.5,145.5,992,40,3,画像,天気図,警報
2021,7,26,21,34.4,143.7,992,40,3,画像,天気図,警報
2021,7,27,3,34.3,142.9,990,40,3,画像,天気図,警報
2021,7,27,9,34.9,142.6,990,40,3,画像,天気図,警報
2021,7,27,15,35.7,142.4,990,40,3,画像,天気図,警報
2021,7,27,21,36.6,142.4,992,35,3,画像,天気図,警報
2021,7,28,3,37.8,142.2,994,35,3,画像,天気図,警報
2021,7,28,5,38.2,141.7,994,35,3,画像,天気図,警報
2021,7,28,9,39.2,141.4,994,35,3,画像,天気図,警報
2021,7,28,15,40.4,139.8,998,0,6,画像,天気図,警報
2021,7,28,21,40.6,138.1,998,0,6,画像,天気図,警報
2021,7,29,3,40.7,137.6,998,0,6,画像,天気図,警報
2021,7,29,9,40.7,136.9,998,0,6,画像,天気図,警報
2021,7,29,15,40.7,136.6,998,0,6,画像,天気図,警報
2021,7,29,21,40.8,136.3,998,0,6,画像,天気図,警報
2021,7,30,3,40.8,136.2,998,0,6,画像,天気図,警報
2021,7,30,9,40.8,135.9,1000,0,6,画像,天気図,警報
2021,7,30,15,40.8,135.7,1000,0,6,画像,天気図,警報
2021,7,30,21,40.8,135.4,1000,0,6,画像,天気図,警報
2021,7,31,3,40.8,135.2,1000,0,6,画像,天気図,警報
2021,7,31,9,40.7,135.0,1002,0,6,画像,天気図,警報
2021,7,31,15,40.9,133.9,1002,0,6,画像,天気図,警報
